"","año","mes","ccaa","nivel","volumen"
"154","2014","Agosto","Murcia, Región de","4",4898.29
"155","2014","Agosto","Murcia, Región de","5",7855.71
"156","2014","Agosto","Navarra, Comunidad Foral de","1",6036.92
"157","2014","Agosto","Navarra, Comunidad Foral de","2",12720.43
"158","2014","Agosto","Navarra, Comunidad Foral de","3",12875.48
"159","2014","Agosto","Navarra, Comunidad Foral de","4",2645.4
"160","2014","Agosto","Navarra, Comunidad Foral de","5",1803.7
"161","2014","Agosto","País Vasco","1",15527.23
"162","2014","Agosto","País Vasco","2",32956.18
"163","2014","Agosto","País Vasco","3",38440.74
"164","2014","Agosto","País Vasco","4",7559.46
"165","2014","Agosto","País Vasco","5",5311.27
"166","2014","Agosto","Valenciana, Comunidad","1",57400.59
"167","2014","Agosto","Valenciana, Comunidad","2",70948.02
"168","2014","Agosto","Valenciana, Comunidad","3",80611.17
"169","2014","Agosto","Valenciana, Comunidad","4",18145.22
"170","2014","Agosto","Valenciana, Comunidad","5",21759.86
"171","2014","Diciembre","Andalucía","1",82885.13
"172","2014","Diciembre","Andalucía","2",91363.5
"173","2014","Diciembre","Andalucía","3",156159.67
"174","2014","Diciembre","Andalucía","4",38370.4
"175","2014","Diciembre","Andalucía","5",33528.87
"176","2014","Diciembre","Aragón","1",12953.54
"177","2014","Diciembre","Aragón","2",19483.51
"178","2014","Diciembre","Aragón","3",28932.33
"179","2014","Diciembre","Aragón","4",7958.76
"180","2014","Diciembre","Aragón","5",4639.73
"181","2014","Diciembre","Asturias, Principado de","1",12406.37
"182","2014","Diciembre","Asturias, Principado de","2",13683.89
"183","2014","Diciembre","Asturias, Principado de","3",26558.83
"184","2014","Diciembre","Asturias, Principado de","4",5902.95
"185","2014","Diciembre","Asturias, Principado de","5",2895.96
"186","2014","Diciembre","Canarias","1",30255.52
"187","2014","Diciembre","Canarias","2",24337.65
"188","2014","Diciembre","Canarias","3",32727.55
"189","2014","Diciembre","Canarias","4",8549.55
"190","2014","Diciembre","Canarias","5",8243.64
"191","2014","Diciembre","Cantabria","1",5616.28
"192","2014","Diciembre","Cantabria","2",8587.08
"193","2014","Diciembre","Cantabria","3",13326.25
"194","2014","Diciembre","Cantabria","4",2905.1
"195","2014","Diciembre","Cantabria","5",1897.59
"196","2014","Diciembre","Castilla y León","1",26303.36
"197","2014","Diciembre","Castilla y León","2",34108.11
"198","2014","Diciembre","Castilla y León","3",62713.23
"199","2014","Diciembre","Castilla y León","4",14803.84
"200","2014","Diciembre","Castilla y León","5",7907.54
"201","2014","Diciembre","Castilla-La Mancha","1",21413.77
"202","2014","Diciembre","Castilla-La Mancha","2",23584.62
"203","2014","Diciembre","Castilla-La Mancha","3",47740.43
"204","2014","Diciembre","Castilla-La Mancha","4",11583.68
"205","2014","Diciembre","Castilla-La Mancha","5",7711.51
"206","2014","Diciembre","Cataluña","1",86722.11
"207","2014","Diciembre","Cataluña","2",97768.73
"208","2014","Diciembre","Cataluña","3",134550.63
"209","2014","Diciembre","Cataluña","4",36414.87
"210","2014","Diciembre","Cataluña","5",28791.83
"211","2014","Diciembre","Extremadura","1",11077.24
"212","2014","Diciembre","Extremadura","2",11930.28
"213","2014","Diciembre","Extremadura","3",20445.64
"214","2014","Diciembre","Extremadura","4",5291.51
"215","2014","Diciembre","Extremadura","5",4527.03
"216","2014","Diciembre","Galicia","1",27063.13
"217","2014","Diciembre","Galicia","2",36760.25
"218","2014","Diciembre","Galicia","3",60427.27
"219","2014","Diciembre","Galicia","4",13455.05
"220","2014","Diciembre","Galicia","5",7428.48
"221","2014","Diciembre","Islas Baleares","1",15184.63
"222","2014","Diciembre","Islas Baleares","2",13153.08
"223","2014","Diciembre","Islas Baleares","3",21511.72
"224","2014","Diciembre","Islas Baleares","4",5168.3
"225","2014","Diciembre","Islas Baleares","5",3860.37
"226","2014","Diciembre","La Rioja","1",2627.68
"227","2014","Diciembre","La Rioja","2",3707.59
"228","2014","Diciembre","La Rioja","3",7005.88
"229","2014","Diciembre","La Rioja","4",1441.4
"230","2014","Diciembre","La Rioja","5",970.96
"231","2014","Diciembre","Madrid, Comunidad de","1",43612.05
"232","2014","Diciembre","Madrid, Comunidad de","2",81354.13
"233","2014","Diciembre","Madrid, Comunidad de","3",128288.1
"234","2014","Diciembre","Madrid, Comunidad de","4",30356.36
"235","2014","Diciembre","Madrid, Comunidad de","5",24379.95
"236","2014","Diciembre","Murcia, Región de","1",15099.39
"237","2014","Diciembre","Murcia, Región de","2",14657.01
"238","2014","Diciembre","Murcia, Región de","3",28150.85
"239","2014","Diciembre","Murcia, Región de","4",6419.89
"240","2014","Diciembre","Murcia, Región de","5",6434.25
"241","2014","Diciembre","Navarra, Comunidad Foral de","1",5632.21
"242","2014","Diciembre","Navarra, Comunidad Foral de","2",8248.78
"243","2014","Diciembre","Navarra, Comunidad Foral de","3",14849.91
"244","2014","Diciembre","Navarra, Comunidad Foral de","4",3044.8
"245","2014","Diciembre","Navarra, Comunidad Foral de","5",2086.62
"246","2014","Diciembre","País Vasco","1",17456.52
"247","2014","Diciembre","País Vasco","2",31856.31
"248","2014","Diciembre","País Vasco","3",51774.71
"249","2014","Diciembre","País Vasco","4",10400.32
"250","2014","Diciembre","País Vasco","5",6402.61
"251","2014","Diciembre","Valenciana, Comunidad","1",59353.53
"252","2014","Diciembre","Valenciana, Comunidad","2",59025.43
"253","2014","Diciembre","Valenciana, Comunidad","3",101462.41
"254","2014","Diciembre","Valenciana, Comunidad","4",25557.44
"255","2014","Diciembre","Valenciana, Comunidad","5",19403.24
"256","2014","Enero","Andalucía","1",91132.61
"257","2014","Enero","Andalucía","2",107084.43
"258","2014","Enero","Andalucía","3",152876.8
"259","2014","Enero","Andalucía","4",34024.19
"260","2014","Enero","Andalucía","5",31040.59
"261","2014","Enero","Aragón","1",13766.49
"262","2014","Enero","Aragón","2",21214.52
"263","2014","Enero","Aragón","3",28651.38
"264","2014","Enero","Aragón","4",7254.25
"265","2014","Enero","Aragón","5",4221.94
"266","2014","Enero","Asturias, Principado de","1",13211.04
"267","2014","Enero","Asturias, Principado de","2",17130.54
"268","2014","Enero","Asturias, Principado de","3",27873.96
"269","2014","Enero","Asturias, Principado de","4",7450.14
"270","2014","Enero","Asturias, Principado de","5",2906.93
"271","2014","Enero","Canarias","1",31990.24
"272","2014","Enero","Canarias","2",27460.16
"273","2014","Enero","Canarias","3",37833.32
"274","2014","Enero","Canarias","4",7578.11
"275","2014","Enero","Canarias","5",8894.82
"276","2014","Enero","Cantabria","1",6997.39
"277","2014","Enero","Cantabria","2",8751.98
"278","2014","Enero","Cantabria","3",17389.65
"279","2014","Enero","Cantabria","4",2541.42
